ascii_code,char,char_display,char_name,index,row,col,cell_x,cell_y,cell_w,cell_h,draw_x,draw_y,draw_w,draw_h,base_glyph_w,base_glyph_h,outline_px,xadvance,u0,v0,u1,v1
32, ,SPACE,SPACE,0,0,0,0,0,12,17,2,2,8,13,6,11,1,12,0.0,0.0,0.0625,0.166667
33,!,!,EXCLAMATION_MARK,1,0,1,12,0,12,17,14,2,8,13,6,11,1,12,0.0625,0.0,0.125,0.166667
34,"""","\""",DOUBLE_QUOTE,2,0,2,24,0,12,17,26,2,8,13,6,11,1,12,0.125,0.0,0.1875,0.166667
35,#,#,HASH,3,0,3,36,0,12,17,38,2,8,13,6,11,1,12,0.1875,0.0,0.25,0.166667
36,$,$,DOLLAR,4,0,4,48,0,12,17,50,2,8,13,6,11,1,12,0.25,0.0,0.3125,0.166667
37,%,%,PERCENT,5,0,5,60,0,12,17,62,2,8,13,6,11,1,12,0.3125,0.0,0.375,0.166667
38,&,&,AMPERSAND,6,0,6,72,0,12,17,74,2,8,13,6,11,1,12,0.375,0.0,0.4375,0.166667
39,',',APOSTROPHE,7,0,7,84,0,12,17,86,2,8,13,6,11,1,12,0.4375,0.0,0.5,0.166667
40,(,(,LEFT_PAREN,8,0,8,96,0,12,17,98,2,8,13,6,11,1,12,0.5,0.0,0.5625,0.166667
41,),),RIGHT_PAREN,9,0,9,108,0,12,17,110,2,8,13,6,11,1,12,0.5625,0.0,0.625,0.166667
42,*,*,ASTERISK,10,0,10,120,0,12,17,122,2,8,13,6,11,1,12,0.625,0.0,0.6875,0.166667
43,+,+,PLUS,11,0,11,132,0,12,17,134,2,8,13,6,11,1,12,0.6875,0.0,0.75,0.166667
44,",",",",COMMA,12,0,12,144,0,12,17,146,2,8,13,6,11,1,12,0.75,0.0,0.8125,0.166667
45,-,-,HYPHEN,13,0,13,156,0,12,17,158,2,8,13,6,11,1,12,0.8125,0.0,0.875,0.166667
46,.,.,PERIOD,14,0,14,168,0,12,17,170,2,8,13,6,11,1,12,0.875,0.0,0.9375,0.166667
47,/,/,SLASH,15,0,15,180,0,12,17,182,2,8,13,6,11,1,12,0.9375,0.0,1.0,0.166667
48,0,0,0,16,1,0,0,17,12,17,2,19,8,13,6,11,1,12,0.0,0.166667,0.0625,0.333333
49,1,1,1,17,1,1,12,17,12,17,14,19,8,13,6,11,1,12,0.0625,0.166667,0.125,0.333333
50,2,2,2,18,1,2,24,17,12,17,26,19,8,13,6,11,1,12,0.125,0.166667,0.1875,0.333333
51,3,3,3,19,1,3,36,17,12,17,38,19,8,13,6,11,1,12,0.1875,0.166667,0.25,0.333333
52,4,4,4,20,1,4,48,17,12,17,50,19,8,13,6,11,1,12,0.25,0.166667,0.3125,0.333333
53,5,5,5,21,1,5,60,17,12,17,62,19,8,13,6,11,1,12,0.3125,0.166667,0.375,0.333333
54,6,6,6,22,1,6,72,17,12,17,74,19,8,13,6,11,1,12,0.375,0.166667,0.4375,0.333333
55,7,7,7,23,1,7,84,17,12,17,86,19,8,13,6,11,1,12,0.4375,0.166667,0.5,0.333333
56,8,8,8,24,1,8,96,17,12,17,98,19,8,13,6,11,1,12,0.5,0.166667,0.5625,0.333333
57,9,9,9,25,1,9,108,17,12,17,110,19,8,13,6,11,1,12,0.5625,0.166667,0.625,0.333333
58,:,:,COLON,26,1,10,120,17,12,17,122,19,8,13,6,11,1,12,0.625,0.166667,0.6875,0.333333
59,;,;,SEMICOLON,27,1,11,132,17,12,17,134,19,8,13,6,11,1,12,0.6875,0.166667,0.75,0.333333
60,<,<,LESS_THAN,28,1,12,144,17,12,17,146,19,8,13,6,11,1,12,0.75,0.166667,0.8125,0.333333
61,=,=,EQUALS,29,1,13,156,17,12,17,158,19,8,13,6,11,1,12,0.8125,0.166667,0.875,0.333333
62,>,>,GREATER_THAN,30,1,14,168,17,12,17,170,19,8,13,6,11,1,12,0.875,0.166667,0.9375,0.333333
63,?,?,QUESTION_MARK,31,1,15,180,17,12,17,182,19,8,13,6,11,1,12,0.9375,0.166667,1.0,0.333333
64,@,@,AT,32,2,0,0,34,12,17,2,36,8,13,6,11,1,12,0.0,0.333333,0.0625,0.5
65,A,A,A,33,2,1,12,34,12,17,14,36,8,13,6,11,1,12,0.0625,0.333333,0.125,0.5
66,B,B,B,34,2,2,24,34,12,17,26,36,8,13,6,11,1,12,0.125,0.333333,0.1875,0.5
67,C,C,C,35,2,3,36,34,12,17,38,36,8,13,6,11,1,12,0.1875,0.333333,0.25,0.5
68,D,D,D,36,2,4,48,34,12,17,50,36,8,13,6,11,1,12,0.25,0.333333,0.3125,0.5
